Level_m,Storage_hm3
173.9378238,0
180.0518135,0.325135658
183.9896373,0.995847573
188.238342,2.154607479
192.3834197,3.845129166
196.1139896,5.88964833
200.0518135,8.776672301
203.9896373,12.32858989
207.9274611,16.50107485
212.0725389,21.47173838
216.7357513,28.12756464
220.3626943,34.33859736
224.3005181,42.41179155
