Level_m,Surface_km2
174.0540541,0
179.9324324,0.11915078
183.8851351,0.229636049
188.0405405,0.333622184
191.9932432,0.47660312
196.0472973,0.600086655
200.1013514,0.799393414
204.0540541,0.977036395
208.0067568,1.124350087
212.1621622,1.356152513
216.6216216,1.629116118
220.0675676,1.856585789
224.0202703,2.131715771
